instruccion,"json_output"
"elaborame el contrato poder_v1 con la informacion del expediente 123","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""123""}"
"Crea un poder_v1 para el expediente 123","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""123""}"
"Necesito el documento constitutiva_v1 del expediente número 125","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""125""}"
"Genera constitutiva_v1 con los datos de exp. 125","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""125""}"
"Usa el expediente 124 para hacer el contrato poder_v1","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""124""}"
"Hola, buen día, podrías prepararme el poder_v1 con la info del 124? Gracias.","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""124""}"
"expediente 126, contrato constitutiva_v1","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""126""}"
"exp 126, doc constitutiva_v1","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""126""}"
"Quiero el poder v1 para el cliente del expediente 123","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""123""}"
"prepara el documento constitutiva_v1 con el folio 125","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""125""}"
"Buen día, necesito generar un poder_v1 usando el expediente 124.","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""124""}"
"constitutiva_v1 para el expediente 126, por favor","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""126""}"
"Ok, ahora el poder_v1 del exp 123","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""123""}"
"Elaborar constitutiva_v1, expediente 125","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""125""}"
"Para el expediente 124, hazme el poder_v1","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""124""}"
"El contrato es constitutiva_v1 y el expediente es el 126","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""126""}"
"quiero el doc poder_v1 con la data del exp 123","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""123""}"
"Necesito un documento. Es el constitutiva_v1. El expediente es 125.","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""125""}"
"poder_v1, exp. 124","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""124""}"
"constitutiva_v1, exp. 126","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""126""}"
"Crea el contrato poder_v1 con la información que tenemos en el expediente 123","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""123""}"
"Por favor, genera el constitutiva_v1 con el expediente 125","{""contrato_id"": ""constitutiva_v1"", ""expediente_id"": ""125""}"
"Ok, ahora para el expediente 124, el contrato poder_v1","{""contrato_id"": ""poder_v1"", ""expediente_id"": ""124""}"
